,ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
0,100000001,Male,Single,90.0,University,124670.0,Skilled employee/Official,Big city
1,100000002,Female,Non-single,22.0,High school,150773.0,Skilled employee/Official,Big city
2,100000003,Male,Single,49.0,High school,89210.0,Unemployed,Small city
3,100000004,Male,Single,45.0,High school,171565.0,Skilled employee/Official,Mid-sized city
4,100000005,Male,Sinle,53.0,High school,149031.0,Skilled employee/Official,Mid-sized city
5,100000006,Male,Single,35.0,High school,,Unemployed,Small city
6,100000007,Male,Single,53.0,High school,156495.0,Skilled employee/Official,Mid-sized city
7,100000008,Male,Single,35.0,High school,193621.0,Management/High qualified employee,Mid-sized city
8,100000009,Male,Non-single,61.0,University,151591.0,Unemployed,Small city
9,100000010,Male,Non-single,28.0,High school,,Management/High qualified employee,Medium sized city
10,100000011,Female,Non-single,25.0,High school,108469.0,Skilled employee/Official,Small city
11,100000012,Female,Non-single,24.0,High school,127596.0,Skilled employee/Official,Medium sized city
12,100000013,Female,Non-single,22.0,High school,108687.0,Skilled employee/Official,Big city
13,100000014,Male,Single,60.0,University,89374.0,Unemployed,Small city
14,100000015,Female,Non-single,28.0,High school,102899.0,Skilled employee/Official,Mid-sized city
15,100000016,Female,Non-single,32.0,High school,88428.0,Unemployed,Small city
16,100000017,Male,Single,53.0,High school,125550.0,Skilled employee/Official,Small city
17,100000018,Male,Single,25.0,Unknown,157434.0,Skilled employee/Official,Big city
18,100000019,Female,Non-single,44.0,University,261952.0,Management/High qualified employee,Big city
19,100000020,Male,Single,31.0,Unknown,144657.0,Skilled employee/Official,Mid-sized city
20,100000021,Male,Single,48.0,High school,118777.0,Skilled employee/Official,Mid-sized city
21,100000022,Male,Single,44.0,High school,147511.0,Skilled employee/Official,Mid-sized city
22,100000023,Male,Single,48.0,High school,,Unemployed,Small city
23,100000024,Male,Single,,High school,134918.0,Skilled employee/Official,Big city
24,100000025,Male,Non-single,26.0,High school,103667.0,Skilled employee/Official,Big city
25,100000026,Male,Single,36.0,High school,71909.0,Unemployed,Small city
26,100000027,Male,Non-single,,High school,68264.0,Unemployed,Small city
27,100000028,Female,Non-single,42.0,University,,Skilled employee/Official,Mid-sized city
28,100000029,Male,Single,34.0,High school,119307.0,Skilled employee/Official,Mid-sized city
29,100000030,Male,Single,63.0,University,175882.0,Skilled employee/Official,Small city
30,100000031,Male,Non-single,36.0,High school,159646.0,Skilled employee/Official,Mid-sized city
31,100000032,Male,Single,27.0,Unknown,120131.0,Skilled employee/Official,Mid-sized city
32,100000033,Male,Single,30.0,Unknown,162745.0,Skilled employee/Official,Big city
33,100000034,Male,Single,57.0,University,,Unemployed,
34,100000035,Female,Non-single,33.0,High school,155569.0,Management/High qualified employee,Mid-sized city
35,100000036,Male,Single,25.0,Unknown,104505.0,Unemployed,Small city
36,100000037,Male,Single,31.0,Unknown,143385.0,Skilled employee/Official,Big city
37,100000038,Male,Single,37.0,High school,127676.0,Skilled employee/Official,Mid-sized city
38,100000039,Male,Single,37.0,High school,119276.0,Skilled employee/Official,Mid-sized city
39,100000040,Male,Single,24.0,Unknown,92542.0,Skilled employee/Official,Mid-sized city
40,100000041,Male,Single,30.0,Unknown,163329.0,Management/High qualified employee,Mid-sized city
41,100000042,Male,Married,26.0,High school,130921.0,Skilled employee/Official,Small city
42,100000043,Male,Single,44.0,High school,133658.0,Unemployed,Small city
43,100000044,Male,Non-single,24.0,High school,155104.0,Skilled employee/Official,Mid-sized city
44,100000045,Female,Non-single,58.0,University,,Unemployed,Mid-sized city
45,100000046,Female,Non-single,35.0,High school,138387.0,Management/High qualified employee,Mid-sized city
46,100000047,Male,Single,39.0,High school,140182.0,Skilled employee/Official,Small city
47,100000048,Female,Non-single,23.0,High school,65421.0,Unemployed,Small city
48,100000049,Male,Single,39.0,High school,130500.0,Unemployed,Small city
49,100000050,Female,Non-single,,High school,122831.0,Skilled employee/Official,Small city
50,100000051,Male,Single,29.0,Unknown,,Unemployed,Small city
51,100000052,Male,Single,30.0,Unknown,180196.0,Management/High qualified employee,Big city
52,100000053,Male,Single,25.0,Unknown,92058.0,Skilled employee/Official,Big city
53,100000054,Male,Single,31.0,Unknown,117158.0,Skilled employee/Official,Small city
54,100000055,Male,Single,57.0,University,135830.0,Skilled employee/Official,Mid-sized city
55,100000056,Male,Single,26.0,,58258.0,Unemployed,Small city
56,100000057,Male,Single,52.0,High school,202575.0,Management/High qualified employee,Big city
57,100000058,Female,Non-single,31.0,High school,183657.0,Skilled employee/Official,Mid-sized city
58,100000059,Female,Non-single,23.0,High school,152267.0,Management/High qualified employee,Mid-sized city
59,100000060,Female,Non-single,23.0,High school,115240.0,Unemployed,Small city
60,100000061,Male,Non-single,27.0,High school,106955.0,Skilled employee/Official,Big city
61,100000062,Male,Single,50.0,High school,123641.0,Skilled employee/Official,Mid-sized city
62,100000063,Male,Single,61.0,University,166410.0,Management/High qualified employee,Mid-sized city
63,100000064,Male,Single,25.0,Unknown,227385.0,Skilled employee/Official,Big city
64,100000065,Female,Non-single,26.0,High school,118372.0,Skilled employee/Official,Mid-sized city
65,100000066,Male,Single,48.0,High school,148115.0,Skilled employee/Official,Mid-sized city
66,100000067,Female,Non-single,29.0,High school,111069.0,Skilled employee/Official,Medium sized city
67,100000068,Male,Non-single,22.0,High school,139780.0,Skilled employee/Official,Small city
68,100000069,Male,Single,37.0,High school,,Skilled employee/Official,Big city
69,100000070,Female,Non-single,25.0,High school,110019.0,Skilled employee/Official,Big city
70,100000071,Female,Non-single,30.0,High school,169102.0,Skilled employee/Official,Mid-sized city
71,100000072,Male,Single,46.0,High school,73703.0,Unemployed,Small city
72,100000073,Male,Single,,High school,141858.0,Management/High qualified employee,Big city
73,100000074,Female,Non-single,,University,135959.0,Unemployed,Small city
74,100000075,Male,Single,40.0,High school,140888.0,Management/High qualified employee,Big city
75,100000076,Male,Single,66.0,University,157299.0,Management/High qualified employee,Big city
76,100000077,Male,Single,34.0,High school,125187.0,Skilled employee/Official,Mid-sized city
77,100000078,Male,Single,51.0,High school,155486.0,Skilled employee/Official,Big city
78,100000079,Male,Single,39.0,High school,151697.0,Unemployed,Small city
79,100000080,Male,Non-single,22.0,High school,126400.0,Skilled employee/Official,Mid-sized city
80,100000081,Female,Married,44.0,University,159246.0,Skilled employee/Official,Big city
81,100000082,Male,Single,47.0,High school,136138.0,Skilled employee/Official,Mid-sized city
82,100000083,Female,Non-single,24.0,High school,84792.0,Unemployed,Small city
83,100000084,Female,Non-single,58.0,University,100210.0,Unemployed,Small city
84,100000085,Male,Single,52.0,High school,,Unemployed,Small city
85,100000086,Female,Non-single,29.0,High school,133783.0,Management/High qualified employee,Mid-sized city
86,100000087,Female,Non-single,27.0,High school,110064.0,Skilled employee/Official,Big city
87,100000088,Male,Single,47.0,High school,,Skilled employee/Official,Mid-sized city
88,100000089,Male,Single,30.0,Unknown,,Management/High qualified employee,Big city
89,100000090,Male,Single,28.0,Unknown,92973.0,Skilled employee/Official,Big city
90,100000091,Male,Single,56.0,High school,110605.0,Skilled employee/Official,Mid-sized city
91,100000092,Male,Single,,High school,116604.0,Skilled employee/Official,Mid-sized city
92,100000093,Female,Non-single,33.0,High school,71070.0,Unemployed,Small city
93,100000094,Male,Single,20.0,Unknown,,Skilled employee/Official,Mid-sized city
94,100000095,Male,Single,54.0,High school,165230.0,Skilled employee/Official,Big city
95,100000096,Male,Single,58.0,University,268340.0,Skilled employee/Official,Mid-sized city
96,100000097,Female,Non-single,61.0,University,135070.0,Skilled employee/Official,Mid-sized city
97,100000098,Male,Single,34.0,,134794.0,Skilled employee/Official,Big city
98,100000099,Male,Single,36.0,High school,120153.0,Skilled employee/Official,Mid-sized city
99,100000100,Male,Single,36.0,High school,195465.0,Management/High qualified employee,Big city
100,100000101,Male,Non-single,41.0,High school,93372.0,Unemployed,Medium sized city
101,100000102,Male,Single,24.0,Unknown,110446.0,Skilled employee/Official,Small city
102,100000103,Female,Non-single,24.0,High school,,Skilled employee/Official,Mid-sized city
103,100000104,Male,Single,35.0,High school,115343.0,Skilled employee/Official,Mid-sized city
104,100000105,Male,Non-single,26.0,High school,107276.0,Skilled employee/Official,Mid-sized city
105,100000106,Male,Single,39.0,High school,244716.0,Management/High qualified employee,Big city
106,100000107,Male,Single,39.0,High school,183108.0,Management/High qualified employee,Big city
107,100000108,Male,Single,32.0,Unknown,152876.0,Skilled employee/Official,Big city
108,100000109,Female,Non-single,30.0,High school,165147.0,Skilled employee/Official,Small city
109,100000110,Male,Non-single,35.0,High school,140520.0,Skilled employee/Official,Small city
110,100000111,Male,Non-single,31.0,High school,,Skilled employee/Official,Mid-sized city
111,100000112,Female,Non-single,23.0,High school,107205.0,Skilled employee/Official,Mid-sized city
112,100000113,Male,Single,28.0,Unknown,,Unemployed,Big city
113,100000114,Female,Non-single,25.0,High school,162445.0,Skilled employee/Official,Small city
114,100000115,Male,Non-single,35.0,High school,134112.0,Skilled employee/Official,Mid-sized city
115,100000116,Male,Single,47.0,High school,131842.0,Skilled employee/Official,Mid-sized city
116,100000117,Female,Non-single,30.0,High school,189896.0,Management/High qualified employee,Small city
117,100000118,Female,Non-single,27.0,High school,109099.0,Skilled employee/Official,Big city
118,100000119,Female,Non-single,23.0,High school,153539.0,Skilled employee/Official,Mid-sized city
119,100000120,Male,Non-single,36.0,High school,,Management/High qualified employee,Mid-sized city
120,100000121,Female,Non-single,25.0,High school,104653.0,Skilled employee/Official,Mid sized city
121,100000122,Female,Married,41.0,University,166933.0,Management/High qualified employee,Big city
122,100000123,Male,Single,24.0,Unknown,66118.0,Unemployed,Small city
123,100000124,Male,Single,63.0,University,135754.0,Skilled employee/Official,Small city
124,100000125,Female,Non-single,27.0,High school,116103.0,Skilled employee/Official,Big city
125,100000126,Male,Single,30.0,Unknown,104293.0,Skilled employee/Official,Mid-sized city
126,100000127,Male,Non-single,40.0,High school,71702.0,Unemployed,Small city
127,100000128,Male,Single,30.0,Unknown,99066.0,Skilled employee/Official,Big city
128,100000129,Male,Single,34.0,High school,143979.0,Management/High qualified employee,Big city
129,100000130,Female,Non-single,29.0,High school,123818.0,Skilled employee/Official,Small city
130,100000131,Female,Non-single,24.0,High school,176714.0,Skilled employee/Official,Big city
131,100000132,Male,Single,29.0,Unknown,,Skilled employee/Official,Big city
132,100000133,Male,Single,27.0,Unknown,77535.0,Unemployed,Small city
133,100000134,Male,Single,47.0,High school,116540.0,Skilled employee/Official,Mid-sized city
