Marital status,Age,Income,Settlement size,Occupation_Skilled employee/Official,Occupation_Unemployed,Sex_Male,Education_High school,Education_University
1,-1.2336511108060437,0.8748595697389167,0,1,0,0,1,0
2,1.1779612667461046,-0.8886391730480994,2,0,1,1,1,0
2,0.8206853589606011,1.4704553961285929,1,1,0,1,1,0
2,1.535237174531608,0.8249592268392045,1,1,0,1,1,0
2,-0.0725044105031575,-5.752094818429176e-07,2,0,1,1,1,0
2,1.535237174531608,1.0387687328113353,1,1,0,1,1,0
2,-0.0725044105031575,2.102259048824375,1,0,0,1,1,0
1,2.249788990102615,0.8982915332819503,2,0,1,1,0,1
1,-0.6977372491277886,-5.752094818429176e-07,1,0,0,1,1,0
1,-0.9656941799669161,-0.33695679422745806,2,1,0,0,1,0
1,-1.055013156913292,0.2109443875422292,1,1,0,0,1,0
1,-1.2336511108060437,-0.330712090006943,0,1,0,0,1,0
2,2.1604700131562393,-0.883941322166611,2,0,1,1,0,1
1,-0.6977372491277886,-0.4965118516048386,1,1,0,0,1,0
1,-0.34046134134228506,-0.9110399010317819,2,0,1,0,1,0
2,1.535237174531608,0.15233583325244093,2,1,0,1,1,0
2,-0.9656941799669161,1.0656667936510769,0,1,0,1,1,0
1,0.7313663820142253,4.0596300767694,0,0,0,0,0,1
2,-0.4297803182886609,0.6996641063780442,1,1,0,1,1,0
2,1.0886422897997288,-0.041679679066589335,1,1,0,1,1,0
2,0.7313663820142253,0.7814181698888242,1,1,0,1,1,0
2,1.0886422897997288,-5.752094818429176e-07,2,0,1,1,1,0
2,0.016814566443218378,0.4206862421413639,0,1,0,1,1,0
1,-0.8763752030205403,-0.4745121596720149,0,1,0,1,1,0
2,0.016814566443218378,-1.3842337956129218,2,0,1,1,1,0
1,0.016814566443218378,-1.488646395997222,2,0,1,1,1,0
1,0.5527284281214736,-5.752094818429176e-07,1,1,0,0,0,1
2,-0.16182338744953334,-0.02649759999836461,1,1,0,1,1,0
2,2.4284269439953667,1.5941177269541138,2,1,0,1,0,1
1,0.016814566443218378,1.1290304896867618,1,1,0,1,1,0
2,-0.7870562260741644,-0.0028937638621057992,1,1,0,1,1,0
2,-0.5190992952350368,1.2178026840875702,0,1,0,1,1,0
2,1.8925130823171115,-5.752094818429176e-07,2,0,1,1,0,1
1,-0.2511423643959092,1.0122430625902483,1,0,0,0,1,0
2,-0.9656941799669161,-0.4505072874848973,2,0,1,1,1,0
2,-0.4297803182886609,0.6632271166143049,0,1,0,1,1,0
2,0.10613354338959424,0.213236022118565,1,1,0,1,1,0
2,0.10613354338959424,-0.02738560839669474,1,1,0,1,1,0
2,-1.055013156913292,-0.793192592943713,1,1,0,1,1,0
2,-0.5190992952350368,1.2345316164948217,1,0,0,1,1,0
0,-0.8763752030205403,0.3061904496211862,2,1,0,1,1,0
2,0.7313663820142253,0.38459299756407495,2,0,1,1,1,0
1,-1.055013156913292,0.9989229366152964,1,1,0,1,1,0
1,1.9818320592634875,-5.752094818429176e-07,1,0,1,0,0,1
1,-0.0725044105031575,0.5200572464577253,1,0,0,0,1,0
2,0.28477149728234596,0.57147579726426,2,1,0,1,1,0
1,-1.144332133859668,-1.5700853597537558,2,0,1,0,1,0
2,0.28477149728234596,0.294130722663219,2,0,1,1,1,0
1,0.016814566443218378,0.07444890308922769,2,1,0,0,1,0
2,-0.6084182721814126,-5.752094818429176e-07,2,0,1,1,1,0
2,-0.5190992952350368,1.7176941214830224,0,0,0,1,1,0
2,-0.9656941799669161,-0.8070569821305447,0,1,0,1,1,0
2,-0.4297803182886609,-0.08805663380518523,2,1,0,1,1,0
2,1.8925130823171115,0.4468108763115921,1,1,0,1,0,1
2,-0.8763752030205403,-1.7752725906324232,2,0,1,1,1,0
2,1.4459181975852322,2.35875024878076,0,0,0,1,1,0
1,-0.4297803182886609,1.81683596234175,1,1,0,0,1,0
1,-1.144332133859668,0.9176558454519879,1,0,0,0,1,0
1,-1.144332133859668,-0.1429985727728362,2,0,1,0,1,0
1,-0.7870562260741644,-0.3803259785846132,0,1,0,1,1,0
2,1.2672802436924804,0.09765170317462774,1,1,0,1,1,0
2,2.249788990102615,1.3227881931159544,1,0,0,1,0,1
2,-0.9656941799669161,3.0694434217669024,0,1,0,1,1,0
1,-0.8763752030205403,-0.05328107910928936,1,1,0,0,1,0
2,1.0886422897997288,0.7987200109401595,1,1,0,1,1,0
1,-0.6084182721814126,-0.26247867049654433,1,1,0,0,1,0
1,-1.2336511108060437,0.5599603335181726,2,1,0,1,1,0
2,0.10613354338959424,-5.752094818429176e-07,0,1,0,1,1,0
1,-0.9656941799669161,-0.29255637431095183,0,1,0,0,1,0
1,-0.5190992952350368,1.3999016966096542,1,1,0,0,1,0
2,0.910004335906977,-1.3328438902385913,2,0,1,1,1,0
2,0.016814566443218378,0.6194855416384952,0,0,0,1,1,0
1,0.016814566443218378,0.4505061370659336,2,0,1,0,0,1
2,0.3740904742287218,0.5916994724004235,0,0,0,1,1,0
2,2.5177459209417425,1.06179966030351,0,0,0,1,0,1
2,-0.16182338744953334,0.1419375413623172,1,1,0,1,1,0
2,1.3565992206388564,1.0098654917173,0,1,0,1,1,0
2,0.28477149728234596,0.9013279490955952,2,0,1,1,1,0
1,-1.2336511108060437,0.17668445062600888,1,1,0,1,1,0
0,0.7313663820142253,1.1175723168050828,0,1,0,0,0,1
2,0.9993233128533529,0.455633669430485,1,1,0,1,1,0
1,-1.055013156913292,-1.0151946925262443,2,0,1,0,1,0
1,1.9818320592634875,-0.5735394188019259,2,0,1,0,0,1
2,1.4459181975852322,-5.752094818429176e-07,2,0,1,1,1,0
1,-0.6084182721814126,0.38817367658959967,1,0,0,0,1,0
1,-0.7870562260741644,-0.2912673298617629,0,1,0,0,1,0
2,0.9993233128533529,-5.752094818429176e-07,1,1,0,1,1,0
2,-0.5190992952350368,-5.752094818429176e-07,0,0,0,1,1,0
2,-0.6977372491277886,-0.7808464116637038,0,1,0,1,1,0
2,1.8031941053707357,-0.27577015103929203,1,1,0,1,1,0
2,0.016814566443218378,-0.10392620324631069,1,1,0,1,1,0
1,-0.2511423643959092,-1.4082673132322436,2,0,1,0,1,0
2,-1.4122890646987956,-5.752094818429176e-07,1,1,0,1,1,0
2,1.624556151477984,1.2889865831150011,0,1,0,1,1,0
2,1.9818320592634875,4.242617097689814,1,1,0,1,0,1
1,2.249788990102615,0.425040347836402,1,1,0,0,0,1
2,-0.16182338744953334,0.41713420854804345,0,1,0,1,1,0
2,0.016814566443218378,-0.0022635643536134523,1,1,0,1,1,0
2,0.016814566443218378,2.155081225808915,0,0,0,1,1,0
1,0.4634094511750977,-0.769416884214229,1,0,1,1,1,0
2,-1.055013156913292,-0.2803247747597594,2,1,0,1,1,0
1,-1.055013156913292,-5.752094818429176e-07,1,1,0,0,1,0
2,-0.0725044105031575,-0.14004809325580386,1,1,0,1,1,0
1,-0.8763752030205403,-0.3711307948470658,1,1,0,1,1,0
2,0.28477149728234596,3.5658974072978507,0,0,0,1,1,0
2,0.28477149728234596,1.8011096200616457,0,0,0,1,1,0
2,-0.34046134134228506,0.9351009136643442,0,1,0,1,1,0
1,-0.5190992952350368,1.2866090122420528,2,1,0,0,1,0
1,-0.0725044105031575,0.5811579533492788,2,1,0,1,1,0
1,-0.4297803182886609,-5.752094818429176e-07,1,1,0,1,1,0
1,-1.144332133859668,-0.3731646205335638,1,1,0,0,1,0
2,-0.6977372491277886,-5.752094818429176e-07,0,0,1,1,1,0
1,-0.9656941799669161,1.209209054426311,2,1,0,0,1,0
1,-0.0725044105031575,0.39759802378478065,1,1,0,1,1,0
2,0.9993233128533529,0.3325728926812522,1,1,0,1,1,0
1,-0.5190992952350368,1.995554813863739,2,0,0,0,1,0
1,-0.7870562260741644,-0.3189101719388136,0,1,0,0,1,0
1,-1.144332133859668,0.9540928352157272,1,1,0,0,1,0
1,0.016814566443218378,-5.752094818429176e-07,1,0,0,1,1,0
1,-0.9656941799669161,-0.4462677635186761,1,1,0,0,1,0
0,0.4634094511750977,1.3377697541587497,0,0,0,0,0,1
2,-1.055013156913292,-1.55011949350743,2,0,1,1,1,0
2,2.4284269439953667,0.4446338234640731,2,1,0,1,0,1
1,-0.7870562260741644,-0.11827756478061369,0,1,0,0,1,0
2,-0.5190992952350368,-0.4565801191121872,1,1,0,1,1,0
1,0.3740904742287218,-1.3901634000791907,2,0,1,1,1,0
2,-0.5190992952350368,-0.606309793243528,0,1,0,1,1,0
2,-0.16182338744953334,0.6802425033435983,0,0,0,1,1,0
1,-0.6084182721814126,0.10272194467477071,2,1,0,0,1,0
1,-1.055013156913292,1.6179507265480062,0,1,0,0,1,0
2,-0.6084182721814126,-5.752094818429176e-07,0,1,0,1,1,0
2,-0.7870562260741644,-1.2230745940321062,2,0,1,1,1,0
2,0.9993233128533529,-0.10575951090737934,1,1,0,1,1,0
0,-1.3229700877524195,2.133969542274422,2,1,0,0,1,0
1,0.1954525203359701,-0.3128373403115237,0,1,0,0,1,0
2,-0.7870562260741644,-5.752094818429176e-07,0,1,0,1,1,0
2,2.5177459209417425,0.16531221404094243,2,0,1,1,1,0
2,-0.0725044105031575,0.08241233324199462,1,1,0,1,1,0
1,0.7313663820142253,-0.34320149844797315,2,0,1,0,0,1
1,-0.7870562260741644,-0.8686446613695695,2,0,1,1,1,0
1,-0.5190992952350368,1.5991306775898484,1,0,0,0,1,0
2,-0.7870562260741644,0.69035434091168,0,0,0,1,1,0
2,-1.2336511108060437,-0.5456101224028332,1,1,0,1,1,0
1,-1.144332133859668,-0.3674068886605201,0,1,0,0,1,0
2,-0.5190992952350368,0.5853115410188875,1,1,0,1,1,0
1,0.28477149728234596,-0.39447682209348683,2,1,0,0,0,1
1,1.3565992206388564,0.21750419151699044,2,1,0,0,0,1
2,-0.6977372491277886,0.3914679012930824,1,1,0,1,1,0
2,0.910004335906977,0.9209787155876747,0,1,0,1,1,0
2,0.5527284281214736,-0.008766077463966305,2,1,0,1,1,0
2,0.1954525203359701,-0.3279334830831358,0,1,0,1,1,0
2,-1.055013156913292,0.9468455408680653,1,1,0,1,1,0
1,-0.6084182721814126,2.691867979883374,0,1,0,0,1,0
2,0.016814566443218378,2.517044907141156,0,0,0,1,1,0
1,-1.4122890646987956,-0.7126129921533052,1,1,0,0,1,0
2,1.0886422897997288,-5.752094818429176e-07,1,1,0,1,1,0
1,0.8206853589606011,-1.3754682933584375,2,0,1,1,0,1
2,0.016814566443218378,-5.752094818429176e-07,0,1,0,1,1,0
2,-0.16182338744953334,-1.2858653814237073,2,0,1,1,1,0
2,0.016814566443218378,0.2737638203660345,1,1,0,1,1,0
